line;15;15;1245;15;0;1
line;15;15;15;875;0;1
line;1245;15;1245;875;0;1
line;15;875;1245;875;0;1
line;15;35;1245;35;0;1
line;15;815;1245;815;0;1
line;15;785;1245;785;0;1
line;45;35;45;785;0;1
line;330;15;330;785;0;1
line;930;15;930;785;0;1
line;1140;35;1140;785;0;1
line;1215;35;1215;785;0;1
line;255;35;255;785;0;1
line;45;815;45;875;0;1
line;90;815;90;875;0;1
line;190;815;190;875;0;1
line;305;815;305;875;0;1
line;420;815;420;875;0;1
line;480;815;480;875;0;1
line;610;815;610;875;0;1
line;655;815;655;875;0;1
line;710;815;710;875;0;1
line;980;815;980;875;0;1
line;1020;815;1020;875;0;1
line;1060;815;1060;875;0;1
line;1115;815;1115;875;0;1
line;15;830;190;830;0;1
line;15;845;190;845;0;1
line;15;860;190;860;0;1
line;420;830;710;830;0;1
line;420;845;710;845;0;1
line;420;860;710;860;0;1
line;710;830;980;830;0;1
line;980;830;1245;830;0;1
line;980;845;1245;845;0;1
line;980;860;1245;860;0;1
line;15;65;330;65;0;1
line;15;95;330;95;0;1
line;15;125;330;125;0;1
line;15;155;330;155;0;1
line;15;185;330;185;0;1
line;15;215;330;215;0;1
line;15;245;330;245;0;1
line;15;275;330;275;0;1
line;15;305;330;305;0;1
line;15;335;330;335;0;1
line;15;365;330;365;0;1
line;15;395;330;395;0;1
line;15;425;330;425;0;1
line;15;455;330;455;0;1
line;15;485;330;485;0;1
line;15;515;330;515;0;1
line;15;545;330;545;0;1
line;15;575;330;575;0;1
line;15;605;330;605;0;1
line;15;635;330;635;0;1
line;15;665;330;665;0;1
line;15;695;330;695;0;1
line;15;725;330;725;0;1
line;15;755;330;755;0;1
line;930;65;1245;65;0;1
line;930;95;1245;95;0;1
line;930;125;1245;125;0;1
line;930;155;1245;155;0;1
line;930;185;1245;185;0;1
line;930;215;1245;215;0;1
line;930;245;1245;245;0;1
line;930;275;1245;275;0;1
line;930;305;1245;305;0;1
line;930;335;1245;335;0;1
line;930;365;1245;365;0;1
line;930;395;1245;395;0;1
line;930;425;1245;425;0;1
line;930;455;1245;455;0;1
line;930;485;1245;485;0;1
line;930;515;1245;515;0;1
line;930;545;1245;545;0;1
line;930;575;1245;575;0;1
line;930;605;1245;605;0;1
line;930;635;1245;635;0;1
line;930;665;1245;665;0;1
line;930;695;1245;695;0;1
line;930;725;1245;725;0;1
line;930;755;1245;755;0;1
